Date,BTC Open,BTC High,BTC Low,BTC Close, BTC Volume,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Volume,Gold Open,Gold High,Gold Low,Gold Close,Gold Volume,Trend
2018-12-21,4133.703613,4198.429688,3850.946289,3896.543701,7206015706,6573.490234,6586.680176,6304.629883,6332.990234,4571670000,1260.3,1261.3,1253.8,1253.8,96,-1
2018-12-22,3898.08374,4014.182617,3855.739014,4014.182617,5605823233,6573.490234,6586.680176,6304.629883,6332.990234,4571670000,1260.3,1261.3,1253.8,1253.8,96,1
2018-12-23,4020.994629,4085.723633,3976.405762,3998.980225,6151275490,6573.490234,6586.680176,6304.629883,6332.990234,4571670000,1260.3,1261.3,1253.8,1253.8,96,-1
2018-12-24,4000.331787,4271.79248,4000.331787,4078.599121,7240968501,6278.490234,6355.180176,6190.169922,6192.919922,1647440000,1260.3,1268.5,1260.3,1267.5,27,1
2018-12-25,4081.030518,4089.561523,3760.020508,3815.490723,6158207293,6278.490234,6355.180176,6190.169922,6192.919922,1647440000,1260.3,1268.5,1260.3,1267.5,27,-1
2018-12-26,3819.666748,3893.359619,3769.86377,3857.297607,5326547918,6257.859863,6555.529785,6214.339844,6554.359863,2572890000,1269.3,1277.4,1269.2,1269.2,63,1
2018-12-27,3854.688477,3874.416992,3645.448486,3654.833496,5130222366,6457.189941,6583.009766,6336.970215,6579.490234,2449110000,1276.7,1277.3,1276.7,1277.3,480,-1
2018-12-28,3653.131836,3956.135986,3642.63208,3923.918701,5631554348,6616.790039,6684.180176,6529.220215,6584.52002,2216250000,1273.5,1280.1,1273.5,1279.9,805,1
2018-12-29,3932.491699,3963.758789,3820.408691,3820.408691,4991655917,6616.790039,6684.180176,6529.220215,6584.52002,2216250000,1273.5,1280.1,1273.5,1279.9,805,-1
2018-12-30,3822.384766,3901.908936,3797.219238,3865.952637,4770578575,6616.790039,6684.180176,6529.220215,6584.52002,2216250000,1273.5,1280.1,1273.5,1279.9,805,1
2018-12-31,3866.839111,3868.74292,3725.867432,3742.700439,4661840806,6649.52002,6659.959961,6570.060059,6635.279785,2109320000,1278,1281.3,1277.6,1278.3,19,-1
2019-01-01,3746.713379,3850.913818,3707.231201,3843.52002,4324200990,6649.52002,6659.959961,6570.060059,6635.279785,2109320000,1278,1281.3,1277.6,1278.3,19,1
2019-01-02,3849.216309,3947.981201,3817.409424,3943.409424,5244856836,6506.910156,6693.709961,6506.879883,6665.939941,2261800000,1286,1286,1277.6,1281,149,1
2019-01-03,3931.048584,3935.685059,3826.2229,3836.741211,4530215219,6584.77002,6600.209961,6457.129883,6463.5,2631550000,1286.8,1292,1286.7,1291.8,10,-1
2019-01-04,3832.040039,3865.93457,3783.85376,3857.717529,4847965467,6567.140137,6760.689941,6554.240234,6738.859863,2596150000,1294.2,1294.2,1275.3,1282.7,34,1
